Year,Quarter,State,Tax_Category,Tax_Code,Amount
2004,1,Delaware,Other miscellaneous taxes,T99,10.0
2004,1,District of Columbia,Property tax,T01,257916.0
2004,1,District of Columbia,General sales and gross receipts,T09,172967.0
2004,1,District of Columbia,Alcoholic beverages,T10,1174.0
2004,1,District of Columbia,Amusements,T11,0.0
2004,1,District of Columbia,Insurance,T12,25468.0
2004,1,District of Columbia,Motor fuel sales taxes,T13,6606.0
2004,1,District of Columbia,Pari-mutuels,T14,0.0
2004,1,District of Columbia,Public utilities,T15,47467.0
2004,1,District of Columbia,Tobacco products,T16,4157.0
2004,1,District of Columbia,Other selective sales and gross receipts,T19,22929.0
2004,1,District of Columbia,Alcoholic beverages,T20,0.0
2004,1,District of Columbia,Amusements,T21,0.0
2004,1,District of Columbia,Corporations in general,T22,7966.0
2004,1,District of Columbia,Hunting and fishing licenses,T23,0.0
2004,1,District of Columbia,Motor vehicles,T24,6007.0
2004,1,District of Columbia,Motor vehicle operator,T25,1047.0
2004,1,District of Columbia,Public utilities,T27,0.0
2004,1,District of Columbia,Occupation and business licenses,T28,3347.0
2004,1,District of Columbia,Other licenses taxes,T29,7888.0
2004,1,District of Columbia,Individual income taxes,T40,232673.0
2004,1,District of Columbia,Corporation net income taxes,T41,37049.0
2004,1,District of Columbia,Death and gift taxes,T50,4439.0
2004,1,District of Columbia,Documentary and stock transfer taxes,T51,74339.0
2004,1,District of Columbia,Severance taxes,T53,0.0
2004,1,District of Columbia,Other miscellaneous taxes,T99,157.0
2004,1,Florida,Property tax,T01,125300.0
2004,1,Florida,General sales and gross receipts,T09,4584046.0
2004,1,Florida,Alcoholic beverages,T10,154154.0
2004,1,Florida,Amusements,T11,0.0
2004,1,Florida,Insurance,T12,177786.0
2004,1,Florida,Motor fuel sales taxes,T13,505344.0
2004,1,Florida,Pari-mutuels,T14,7904.0
2004,1,Florida,Public utilities,T15,413569.0
2004,1,Florida,Tobacco products,T16,108796.0
2004,1,Florida,Other selective sales and gross receipts,T19,191975.0
2004,1,Florida,Alcoholic beverages,T20,14072.0
2004,1,Florida,Amusements,T21,1467.0
2004,1,Florida,Corporations in general,T22,77296.0
2004,1,Florida,Hunting and fishing licenses,T23,3466.0
2004,1,Florida,Motor vehicles,T24,300864.0
2004,1,Florida,Motor vehicle operator,T25,42371.0
2004,1,Florida,Public utilities,T27,12276.0
2004,1,Florida,Occupation and business licenses,T28,63875.0
2004,1,Florida,Other licenses taxes,T29,0.0
2004,1,Florida,Individual income taxes,T40,0.0
2004,1,Florida,Corporation net income taxes,T41,278430.0
2004,1,Florida,Death and gift taxes,T50,96800.0
2004,1,Florida,Documentary and stock transfer taxes,T51,720100.0
2004,1,Florida,Severance taxes,T53,7880.0
2004,1,Florida,Other miscellaneous taxes,T99,0.0
2004,1,Georgia,Property tax,T01,19453.0
2004,1,Georgia,General sales and gross receipts,T09,1291059.0
2004,1,Georgia,Alcoholic beverages,T10,35196.0
2004,1,Georgia,Amusements,T11,0.0
2004,1,Georgia,Insurance,T12,88000.0
2004,1,Georgia,Motor fuel sales taxes,T13,184552.0
2004,1,Georgia,Pari-mutuels,T14,0.0
2004,1,Georgia,Public utilities,T15,0.0
2004,1,Georgia,Tobacco products,T16,54056.0
2004,1,Georgia,Other selective sales and gross receipts,T19,0.0
2004,1,Georgia,Alcoholic beverages,T20,371.0
2004,1,Georgia,Amusements,T21,0.0
2004,1,Georgia,Corporations in general,T22,10700.0
2004,1,Georgia,Hunting and fishing licenses,T23,5800.0
2004,1,Georgia,Motor vehicles,T24,88105.0
2004,1,Georgia,Motor vehicle operator,T25,9909.0
2004,1,Georgia,Public utilities,T27,0.0
2004,1,Georgia,Occupation and business licenses,T28,25600.0
2004,1,Georgia,Other licenses taxes,T29,16214.0
2004,1,Georgia,Individual income taxes,T40,1477681.0
2004,1,Georgia,Corporation net income taxes,T41,159538.0
2004,1,Georgia,Death and gift taxes,T50,15976.0
2004,1,Georgia,Documentary and stock transfer taxes,T51,0.0
2004,1,Georgia,Severance taxes,T53,0.0
2004,1,Georgia,Other miscellaneous taxes,T99,7100.0
2004,1,Hawaii,Property tax,T01,0.0
2004,1,Hawaii,General sales and gross receipts,T09,506096.0
2004,1,Hawaii,Alcoholic beverages,T10,11795.0
2004,1,Hawaii,Amusements,T11,0.0
2004,1,Hawaii,Insurance,T12,33175.0
2004,1,Hawaii,Motor fuel sales taxes,T13,20624.0
2004,1,Hawaii,Pari-mutuels,T14,0.0
2004,1,Hawaii,Public utilities,T15,26908.0
2004,1,Hawaii,Tobacco products,T16,20227.0
2004,1,Hawaii,Other selective sales and gross receipts,T19,50678.0
2004,1,Hawaii,Alcoholic beverages,T20,0.0
2004,1,Hawaii,Amusements,T21,0.0
2004,1,Hawaii,Corporations in general,T22,501.0
2004,1,Hawaii,Hunting and fishing licenses,T23,67.0
2004,1,Hawaii,Motor vehicles,T24,26455.0
2004,1,Hawaii,Motor vehicle operator,T25,59.0
2004,1,Hawaii,Public utilities,T27,2868.0
2004,1,Hawaii,Occupation and business licenses,T28,7107.0
2004,1,Hawaii,Other licenses taxes,T29,341.0
2004,1,Hawaii,Individual income taxes,T40,261760.0
2004,1,Hawaii,Corporation net income taxes,T41,14125.0
2004,1,Hawaii,Death and gift taxes,T50,2371.0
2004,1,Hawaii,Documentary and stock transfer taxes,T51,4368.0
2004,1,Hawaii,Severance taxes,T53,0.0
2004,1,Hawaii,Other miscellaneous taxes,T99,0.0
2004,1,Idaho,Property tax,T01,0.0
2004,1,Idaho,General sales and gross receipts,T09,244275.0
2004,1,Idaho,Alcoholic beverages,T10,1472.0
2004,1,Idaho,Amusements,T11,0.0
2004,1,Idaho,Insurance,T12,12580.0
2004,1,Idaho,Motor fuel sales taxes,T13,48859.0
2004,1,Idaho,Pari-mutuels,T14,0.0
2004,1,Idaho,Public utilities,T15,442.0
2004,1,Idaho,Tobacco products,T16,12333.0
2004,1,Idaho,Other selective sales and gross receipts,T19,985.0
2004,1,Idaho,Alcoholic beverages,T20,390.0
2004,1,Idaho,Amusements,T21,11.0
2004,1,Idaho,Corporations in general,T22,490.0
2004,1,Idaho,Hunting and fishing licenses,T23,6098.0
2004,1,Idaho,Motor vehicles,T24,32887.0
2004,1,Idaho,Motor vehicle operator,T25,1672.0
2004,1,Idaho,Public utilities,T27,8772.0
2004,1,Idaho,Occupation and business licenses,T28,11036.0
2004,1,Idaho,Other licenses taxes,T29,857.0
2004,1,Idaho,Individual income taxes,T40,177847.0
2004,1,Idaho,Corporation net income taxes,T41,14026.0
2004,1,Idaho,Death and gift taxes,T50,713.0
2004,1,Idaho,Documentary and stock transfer taxes,T51,0.0
2004,1,Idaho,Severance taxes,T53,1392.0
2004,1,Idaho,Other miscellaneous taxes,T99,0.0
2004,1,Illinois,Property tax,T01,15462.0
2004,1,Illinois,General sales and gross receipts,T09,1644562.0
2004,1,Illinois,Alcoholic beverages,T10,29456.0
2004,1,Illinois,Amusements,T11,134509.0
2004,1,Illinois,Insurance,T12,92321.0
2004,1,Illinois,Motor fuel sales taxes,T13,341741.0
2004,1,Illinois,Pari-mutuels,T14,1831.0
2004,1,Illinois,Public utilities,T15,447553.0
2004,1,Illinois,Tobacco products,T16,180967.0
2004,1,Illinois,Other selective sales and gross receipts,T19,77127.0
2004,1,Illinois,Alcoholic beverages,T20,2226.0
2004,1,Illinois,Amusements,T21,304.0
2004,1,Illinois,Corporations in general,T22,46121.0
2004,1,Illinois,Hunting and fishing licenses,T23,2811.0
2004,1,Illinois,Motor vehicles,T24,298476.0
2004,1,Illinois,Motor vehicle operator,T25,26454.0
2004,1,Illinois,Public utilities,T27,0.0
2004,1,Illinois,Occupation and business licenses,T28,298441.0
2004,1,Illinois,Other licenses taxes,T29,2252.0
2004,1,Illinois,Individual income taxes,T40,1902394.0
2004,1,Illinois,Corporation net income taxes,T41,431059.0
2004,1,Illinois,Death and gift taxes,T50,53254.0
2004,1,Illinois,Documentary and stock transfer taxes,T51,18004.0
2004,1,Illinois,Severance taxes,T53,81.0
2004,1,Illinois,Other miscellaneous taxes,T99,0.0
2004,1,Indiana,Property tax,T01,4325.0
2004,1,Indiana,General sales and gross receipts,T09,1202890.0
2004,1,Indiana,Alcoholic beverages,T10,7889.0
2004,1,Indiana,Amusements,T11,220745.0
2004,1,Indiana,Insurance,T12,23646.0
